idx	err_cv1	err_cv2	err_pressure_drop	err_temp_std	err_max_temp	row_max_err_5obj
80	8.995481293	47.93038763	2.789415927	1.23005621	0.025882097	47.93038763
81	0.170523436	7.596067506	3.0940309	7.401934556	0.003519748	7.596067506
82	0.171616451	1.712485921	4.005475594	2.701678227	0.010614641	4.005475594
83	4.134629781	7.106303532	3.962909442	1.982797743	0.041199577	7.106303532
84	11.32655218	14.71575444	0.517117322	2.437002513	0.030066274	14.71575444
85	3.911733284	16.03881838	1.005622141	1.553223378	0.057067056	16.03881838
86	2.339968742	7.312605164	3.34860517	1.274316246	0.031542482	7.312605164
87	8.356724803	0.576170975	1.216974869	1.879331556	0.02139828	8.356724803
88	2.25848552	12.86946173	1.907816775	3.259643545	0.181307886	12.86946173
89	0.331310145	15.30920926	0.501164148	1.254468895	0.015549959	15.30920926
90	0.545121167	5.644507067	1.195387666	0.122954095	0.004102564	5.644507067
91	6.724787452	14.75315186	6.397401438	2.668324917	0.029577137	14.75315186
92	2.870470078	10.87421552	2.936469072	0.284670292	0.029172302	10.87421552
93	13.61597142	11.29969347	2.095429949	2.03836295	0.038181477	13.61597142
94	16.30383885	4.701819239	0.874452293	0.239180057	0.016329098	16.30383885
95	3.730567094	11.24321902	1.224390761	1.112849416	0.011505024	11.24321902
96	13.43592117	1.206895451	0.295658872	0.198586663	0.007523149	13.43592117
97	2.652589151	26.56564501	1.24756394	0.255057163	0.002929833	26.56564501
98	4.309468274	4.649251813	0.956455345	0.04452964	0.013669936	4.649251813
99	5.285650907	9.90571425	1.200468465	0.675725855	0.034837764	9.90571425
100	10.22354974	0.516950416	2.950528265	1.142244296	0.01129191	10.22354974
101	7.68517273	21.34293228	0.538974358	0.728029021	0.016012847	21.34293228
102	0.159640526	0.366552857	0.89942718	1.292516433	0.023590123	1.292516433
103	2.76712982	25.3009319	2.459953239	0.826352903	0.022228523	25.3009319
104	3.752325951	11.26265561	1.064618405	0.104088741	0.077090996	11.26265561
105	5.906394483	30.26498745	0.804587236	1.205116605	0.049434752	30.26498745
106	3.044145859	11.19471069	0.28485429	1.612188069	0.006041385	11.19471069
107	11.76286974	2.846140114	0.050102775	0.889897043	0.002776386	11.76286974
108	1.792384507	5.047611913	3.334419403	1.026532486	0.040000471	5.047611913
109	1.08207069	15.17667339	1.022639902	1.313164806	0.034950568	15.17667339
110	9.395410591	23.72186909	0.123720532	0.598411583	0.023591726	23.72186909
