idx	vel_cv_pass1	vel_cv_pass2	vel_cv_check
158	3.929035927	7.947950478	7.947950478
159	2.644244574	4.630425398	4.630425398
160	3.630705814	7.450916087	7.450916087
161	17.42167525	20.15188948	20.15188948
162	2.083104051	8.400401228	8.400401228
163	5.04870786	21.8845797	21.8845797
164	7.122335888	14.01555356	14.01555356
165	14.88821571	8.554443249	14.88821571
166	10.13821103	12.72981902	12.72981902
167	11.58756527	8.010759837	11.58756527
168	3.799479855	16.38699919	16.38699919
169	8.594808436	7.997444042	8.594808436
170	2.028632858	11.5145597	11.5145597
171	4.44217153	11.26494931	11.26494931
172	2.759831309	6.659026576	6.659026576
173	5.889982375	7.11747568	7.11747568
174	5.447760268	9.548073633	9.548073633
175	12.02607296	16.3793996	16.3793996
176	8.504316632	16.13997968	16.13997968
177	4.823353034	11.25723183	11.25723183
178	9.511252138	21.38993583	21.38993583
179	2.781978881	22.03328105	22.03328105
180	7.384105443	9.18224518	9.18224518
181	10.72855057	4.118362554	10.72855057
182	15.06077173	7.282601384	15.06077173
183	6.024626624	8.49604888	8.49604888
184	12.50295983	15.08692414	15.08692414
185	2.040037778	4.916560773	4.916560773
186	7.525097244	11.23779025	11.23779025
187	9.434613617	8.305267977	9.434613617
188	6.685185827	12.20266414	12.20266414
189	4.484347539	11.35814018	11.35814018
190	14.79313683	21.61607158	21.61607158
191	11.86030832	14.25980493	14.25980493
192	3.104660842	14.64161821	14.64161821
193	3.408995361	7.384177792	7.384177792
194	6.918209802	18.25510736	18.25510736
195	8.671674056	13.08244603	13.08244603
196	2.717477807	12.96491974	12.96491974
197	2.17697579	11.73689854	11.73689854
198	8.738436276	10.39525364	10.39525364
199	6.77003072	15.65409602	15.65409602
200	8.996741026	15.9150033	15.9150033
201	3.050392667	14.98662528	14.98662528
202	15.12855185	16.20142577	16.20142577
203	3.93273719	8.720842079	8.720842079
204	7.097625067	8.978644233	8.978644233
205	7.909723255	17.62674125	17.62674125
206	2.86521087	14.15807684	14.15807684
207	8.918006572	11.82821903	11.82821903
208	11.61614342	13.55632958	13.55632958
209	5.562510759	14.42390004	14.42390004
210	11.79947359	30.05755928	30.05755928
211	11.53690075	7.922095396	11.53690075
212	7.051011419	8.73217112	8.73217112
213	2.614016299	7.719913075	7.719913075
214	16.65687648	18.99971831	18.99971831
215	6.734750506	7.450100576	7.450100576
216	12.39269007	7.510571528	12.39269007
217	5.129350757	17.66452971	17.66452971
218	7.8162886	21.94064393	21.94064393
219	6.40879956	20.57084787	20.57084787
220	11.426368	7.533270434	11.426368
221	13.00683164	17.41086447	17.41086447
222	14.54249174	7.94356486	14.54249174
223	3.164867778	9.317783232	9.317783232
224	4.401931534	9.028148011	9.028148011
225	2.138886217	8.915789186	8.915789186
226	4.248918782	12.92963379	12.92963379
227	5.871579557	13.91849014	13.91849014
228	7.636325268	19.87621724	19.87621724
229	4.15565494	6.717631405	6.717631405
230	14.76958964	14.20705186	14.76958964
231	2.968038448	9.743009877	9.743009877
232	5.781303487	15.16953043	15.16953043
233	2.377640778	7.694075911	7.694075911
234	12.64136311	10.00292068	12.64136311
235	4.575145095	7.183872057	7.183872057
236	5.890991482	9.353232179	9.353232179
237	2.528874635	20.96203587	20.96203587
238	1.798092152	8.967911777	8.967911777
239	12.22497756	14.80093342	14.80093342
240	6.926309605	18.85272353	18.85272353
241	11.36914482	6.279659881	11.36914482
242	4.999436622	6.514567407	6.514567407
243	6.848789961	5.526863635	6.848789961
244	8.29392546	6.269616278	8.29392546
245	10.87953952	13.18183845	13.18183845
246	10.89730447	14.10939092	14.10939092
247	8.231172571	12.07159319	12.07159319
248	4.852043433	6.656670792	6.656670792
249	2.380313662	4.464928735	4.464928735
250	15.86549746	11.47813626	15.86549746
251	3.519946611	8.114986374	8.114986374
252	5.095310057	7.341969236	7.341969236
253	3.939256589	13.03554318	13.03554318
254	5.373664694	8.916925904	8.916925904
255	4.313874909	8.501867826	8.501867826
256	14.53383022	22.97881214	22.97881214
257	2.078156838	12.46837711	12.46837711
258	1.937637818	7.391557244	7.391557244
259	7.074888396	9.21534992	9.21534992
260	2.929964048	16.96286087	16.96286087
261	6.283032194	9.739637794	9.739637794
262	1.888459675	10.09384297	10.09384297
263	14.49068975	23.1507721	23.1507721
264	3.014509734	6.956134259	6.956134259
265	6.194379694	11.95825853	11.95825853
266	10.05176553	14.72224767	14.72224767
267	2.370345181	14.23890603	14.23890603
268	8.791739824	9.478307661	9.478307661
